Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Year
Sherman Alexie,The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,Florida,Santa Rosa County District Schools,April 2022,Administration,2022
Sherman Alexie,The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,,"Forney, Ellen",,Florida,St. Lucie Public Schools,January 2022,Formal Challenge,2022
Sherman Alexie,The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,Florida,Walton County School District,April 2022,Administration,2022
Sherman Alexie,The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,,"Forney, Ellen",,Georgia,Forsyth County Schools,January 2022,Administration,2022
Sherman Alexie,The Absolutely True Diary of a Part-Time Indian,Banned in Libraries and Classrooms,,"Forney, Ellen",,Idaho,Nampa School District,May 2022,Administration,2022
Sherman Alexie,The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,,"Forney, Ellen",,Iowa,Ankeny Community School District,November 2021,Formal Challenge,2021
Sherman Alexie,The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,Iowa,Ottumwa Community School District,April 2022,Administration,2022
Sherman Alexie,The Absolutely True Diary of a Part-Time Indian,Banned in Libraries and Classrooms,,"Forney, Ellen",,Kansas,Derby Public Schools,November 2021,Formal Challenge,2021
Sherman Alexie,The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,Kansas,Goddard Public Schools,November 2021,Administration,2021
Sherman Alexie,The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,Michigan,Gladwin Community Schools,May 2022,Administration,2022
Sherman Alexie,The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,,"Forney, Ellen",,Mississippi,Madison County Schools,April 2022,Administration,2022
Sherman Alexie,The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,Oklahoma,Bristow Public Schools,October 2021,Administration,2021
Sherman Alexie,The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,Texas,Fredericksburg Independent School District,March 2022,Administration,2022
Sherman Alexie,Thunder Boy Jr.,Banned Pending Investigation,,"Morales, Yuyi",,Florida,Duval County Public Schools,January 2022,Administration,2022
Cristina Alger,Girls Like Us (2019),Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administration,2021
Selina Alko,The Case for Loving: The Fight for Interracial Marriage,Banned in Classrooms,,"Qualls, Sean",,Pennsylvania,Central York School District,August 2021,Administration,2021
Isabel Allende,The House of the Spirits,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administration,2021
