Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Year
Margarita Engle,Drum Dream Girl: How One Girl's Courage Changed Music,Banned in Classrooms,,Rafael López,,Pennsylvania,Central York School District,August 2021,Administration,2021
Karen English,Hot Day on Abbott Avenue,Banned in Classrooms,,"Steptoe, Javaka",,Pennsylvania,Central York School District,August 2021,Administration,2021
Karen English,Nadia's Hands,Banned Pending Investigation,,"Weiner, Jonathan",,Florida,Duval County Public Schools,January 2022,Administration,2022
Karen English,Nikki & Deja (Nikki & Deja Series),Banned in Classrooms,,"Freeman, Laura",,Pennsylvania,Central York School District,August 2021,Administration,2021
Carla España,En Comunidad: Lessons for Centering the Voices and Experiences of Bilingual Latinx Students,Banned in Classrooms,"Yadira Herrera, Luz",,,Pennsylvania,Central York School District,August 2021,Administration,2021
Roman Espejo,Birth Control,Banned Pending Investigation,,,,Texas,Klein Independent School District,December 2021,Administration,2021
Huda Essa,Teach Us Your Name: Empowering Children to Teach Others to Pronounce Their Names Correctly,Banned in Classrooms,,"Cojocaru, Diana",,Pennsylvania,Central York School District,August 2021,Administration,2021
Jeffrey Eugenides,Middlesex,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Shane W. Evans,We March,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Shane W. Evans,We March,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Bernardine Evaristo,"Girl, Woman, Other",Banned in Libraries and Classrooms,,,"Aguilar, Julia Osuna",South Dakota,Rapid City Area Schools,April 2022,Administration,2022
Jonathan Evison,Lawn Boy,Banned in Libraries,,,,Florida,Orange County Public Schools,October 2021,Formal Challenge,2021
Jonathan Evison,Lawn Boy,Banned Pending Investigation,,,,Iowa,Waukee Community School District,October 2021,Administration,2021
Jonathan Evison,Lawn Boy,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administration,2021
Jonathan Evison,Lawn Boy,Banned in Libraries,,,,Michigan,Novi Community School District,January 2022,Formal Challenge,2022
Jonathan Evison,Lawn Boy,Banned Pending Investigation,,,,Minnesota,Wayzata Public Schools,January 2022,Administration,2022
Jonathan Evison,Lawn Boy,Banned Pending Investigation,,,,Missouri,Wentzville School District,October 2021,Formal Challenge,2021
Jonathan Evison,Lawn Boy,Banned Pending Investigation,,,,New York,Yorktown Central School District,January 2022,Formal Challenge,2022
Jonathan Evison,Lawn Boy,Banned Pending Investigation,,,,Ohio,Hudson City Schools,September 2021,Administration,2021
Jonathan Evison,Lawn Boy,Banned in Libraries,,,,Pennsylvania,North Penn School District,September 2021,Administration,2021
Jonathan Evison,Lawn Boy,Banned in Libraries and Classrooms,,,,Texas,Katy Independent School District,February 2022,Administration,2022
Jonathan Evison,Lawn Boy,Banned Pending Investigation,,,,Texas,Lamar Consolidated Independent School District,December 2021,Administration,2021
Jonathan Evison,Lawn Boy,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Jonathan Evison,Lawn Boy,Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,January 2022,Administration,2022
Jonathan Evison,Lawn Boy,Banned in Libraries and Classrooms,,,,Texas,Tyler Independent School District,November 2021,Administration,2021
Jonathan Evison,Lawn Boy,Banned Pending Investigation,,,,Utah,Canyons School District,October 2021,Administration,2021
Jonathan Evison,Lawn Boy,Banned Pending Investigation,,,,Virginia,Fairfax County Public Schools,September 2021,Formal Challenge,2021
Jonathan Evison,Lawn Boy,Banned Pending Investigation,,,,Virginia,Virginia Beach City Public Schools,October 2021,Administration,2021
Marcus Ewert,"10,000 Dresses",Banned Pending Investigation,,"Ray, Rex",,Florida,Duval County Public Schools,January 2022,Administration,2022
Eve L. Ewing,Ghosts in the Schoolyard: Racism and School Closings on Chicago's South Side,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Sarah Fabiny,Who Was Frida Kahlo? (Who was...? Series),Banned in Classrooms,,"Hoare, Jerry",,Pennsylvania,Central York School District,August 2021,Administration,2021
Sarah Fabiny,Who Was Rachel Carson? (Who was...? Series),Banned in Classrooms,,"Putra, Dede",,Pennsylvania,Central York School District,August 2021,Administration,2021
Laurel Flores Fantauzzo,My Heart Underwater,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Laurel Flores Fantauzzo,My Heart Underwater,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Sara Farizan,If You Could Be Mine,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Sara Farizan,Tell Me Again How a Crush Should Feel,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Courtney Farrell,The Abortion Debate (Essential Viewpoints),Banned Pending Investigation,,,,Texas,Klein Independent School District,December 2021,Administration,2021
Courtney Farrell,The Abortion Debate (Essential Viewpoints),Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Brian Farrey,With Or Without You,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Reem Faruqi,Lailah's Lunchbox: A Ramadan Story,Banned Pending Investigation,,"Lyon, Lea",,Florida,Duval County Public Schools,January 2022,Administration,2022
Saadia Faruqi,A Place at the Table,Banned in Classrooms,"Shovan, Laura",,,North Carolina,Wilkes County School District,May 2022,Administration,2022
Saadia Faruqi,Yasmin the Builder (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administration,2021
Saadia Faruqi,Yasmin the Chef (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administration,2021
Saadia Faruqi,Yasmin the Explorer (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administration,2021
Saadia Faruqi,Yasmin the Fashionista (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administration,2021
Saadia Faruqi,Yasmin the Friend (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administration,2021
Saadia Faruqi,Yasmin the Gardener (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administration,2021
Saadia Faruqi,Yasmin the Librarian (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administration,2021
Saadia Faruqi,Yasmin the Painter (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administration,2021
Saadia Faruqi,Yasmin the Recycler (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administration,2021
Saadia Faruqi,Yasmin the Scientist (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administration,2021
Saadia Faruqi,Yasmin the Singer (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administration,2021
Saadia Faruqi,Yasmin the Soccer Star (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administration,2021
Saadia Faruqi,Yasmin the Superhero (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administration,2021
Saadia Faruqi,Yasmin the Teacher (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administration,2021
Saadia Faruqi,Yasmin the Writer (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administration,2021
Saadia Faruqi,Yasmin the Zookeeper (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administration,2021
Marian Faux,Roe v. Wade: The Untold Story of the Landmark Supreme Court Decision that Made Abortion Legal,Banned Pending Investigation,,,,Texas,Klein Independent School District,December 2021,Administration,2021
Marian Faux,Roe v. Wade: The Untold Story of the Landmark Supreme Court Decision that Made Abortion Legal,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Tim Federle,Nate Expectations,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Tim Federle,The Great American Whatever,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Tim Federle,The Great American Whatever,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Harvey Fierstein,The Sissy Duckling,Banned in Libraries and Classrooms,,"Cole, Henry",,Florida,Broward County Public Schools,June 2022,Administration,2022
Michelle Finch,Phoenix Goes to School: A Story to Support Transgender and Gender Diverse Children,Banned Pending Investigation,"Finch, Phoenix","Davey, Sharon",,Indiana,Carmel Clay Schools,July 2021,Administration,2021
Karen Finneyfrock,The Sweet Revenge of Celia Door,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Kim Firmston,Hook Up,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Christina Fisanick,Do Abstinence Programs Work?,Banned Pending Investigation,,,,Texas,Klein Independent School District,November 2021,Administration,2021
Isaac Fitzsimons,The Passing Playbook,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Sharon G. Flake,Who Am I Without Him?: A Short Story Collection about Girls and Boys in Their Lives,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administration,2021
Paul Fleischman,Seedfolks,Banned in Libraries,,"Pedersen, Judy",,Texas,Birdville Independent School District,October 2021,Formal Challenge,2021
Tim Floreen,Tattoo Atlas,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Tim Floreen,Willful Machines,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Debbi Michiko Florence,"Jasmine Toguchi, Drummer Girl (Jasmine Toguchi Series)",Banned in Classrooms,,"Vukovic, Elizabet",,Pennsylvania,Central York School District,August 2021,Administration,2021
Debbi Michiko Florence,"Jasmine Toguchi, Flamingo Keeper (Jasmine Toguchi Series)",Banned Pending Investigation,,"Vukovic, Elizabet",,Florida,Duval County Public Schools,January 2022,Administration,2022
Debbi Michiko Florence,"Jasmine Toguchi, Flamingo Keeper (Jasmine Toguchi Series)",Banned in Classrooms,,"Vukovic, Elizabet",,Pennsylvania,Central York School District,August 2021,Administration,2021
Debbi Michiko Florence,"Jasmine Toguchi, Mochi Queen (Jasmine Toguchi Series)",Banned in Classrooms,,"Vukovic, Elizabet",,Pennsylvania,Central York School District,August 2021,Administration,2021
Debbi Michiko Florence,"Jasmine Toguchi, Super Sleuth (Jasmine Toguchi Series)",Banned in Classrooms,,"Vukovic, Elizabet",,Pennsylvania,Central York School District,August 2021,Administration,2021
Gillian Flynn,Gone Girl,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administration,2021
Jonathan Safran Foer,Extremely Loud & Incredibly Close,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administration,2021
Jonathan Safran Foer,Extremely Loud & Incredibly Close,Banned in Libraries,,,,Florida,Lee County Schools,May 2022,Administration,2022
Jonathan Safran Foer,Extremely Loud & Incredibly Close,Banned in Libraries,,,,Florida,Polk County Public Schools,January 2022,Administration,2022
Jonathan Safran Foer,Extremely Loud & Incredibly Close,Banned in Libraries,,,,Florida,St. Lucie Public Schools,January 2022,Formal Challenge,2022
Jonathan Safran Foer,Extremely Loud & Incredibly Close,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administration,2022
Jonathan Safran Foer,Extremely Loud & Incredibly Close,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administration,2022
Jonathan Safran Foer,Extremely Loud & Incredibly Close,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administration,2022
Jessie Ann Foley,The Carnival at Bray,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administration,2021
Ari Folman,Anne Frank's Diary: The Graphic Adaptation,Banned in Libraries,"Frank, Anne","Polonsky, David",,Texas,Katy Independent School District,January 2022,Administration,2022
Michael Thomas Ford,Suicide Notes,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Gayle Forman,I Was Here,Banned Pending Investigation,,,,Oklahoma,Bristow Public Schools,October 2021,Administration,2021
Jeron Ashford Frame,Winter Candle,Banned Pending Investigation,,"Schuett, Stacey",,Florida,Duval County Public Schools,January 2022,Administration,2022
E. R. Frank,Dime,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administration,2021
ER Frank,Life is Funny,Banned in Libraries and Classrooms,,,,North Carolina,Moore County Schools,April 2022,Administration,2022
Ashley Franklin,Not Quite Snow White,Banned in Classrooms,,"Glenn, Ebony",,Pennsylvania,Central York School District,August 2021,Administration,2021
Emily Franklin,Tessa Masterson Will Go to Prom,Banned Pending Investigation,"Halpin, Brendan",,,Texas,Granbury Independent School District,January 2022,Administration,2022
Emily Franklin,Tessa Masterson Will Go to Prom,Banned in Libraries,"Halpin, Brendan",,,Texas,North East Independent School District,December 2021,Administration,2021
Tee Franklin,Bingo Love #1,Banned in Libraries and Classrooms,,"St. Onge, Jenn; San, Joy; FT, Genevieve",,Tennessee,Collierville Schools,February 2022,Administration,2022
Crystal Frasier,Cheer Up: Love and Pompoms,Banned Pending Investigation,"Wise, Val",,,Tennessee,Collierville Schools,February 2022,Administration,2022
Frederick Joseph,The Black Friend: On Being a Better White Person,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administration,2021
Frederick Joseph,The Black Friend: On Being a Better White Person,Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administration,2022
Lane Fredrickson,Monster Trouble!,Banned in Classrooms,,"Robertson, Michael",,Pennsylvania,Central York School District,August 2021,Administration,2021
Paulo Freire,Pedagogy of the Oppressed,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Kit Frick,All Eyes on Us,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Natasha Friend,Lush,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administration,2021
Jean Fritz,The Double Life of Pocahontas,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administration,2022
Jeffrey B. Fuerst,African American Cowboys: True Heroes Of The Old West,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Mady G.,A Quick & Easy Guide to Queer & Trans Identities,Banned in Libraries and Classrooms,"Zuckerberg, J. R.",,,Florida,Indian River County School District,November 2021,Administration,2021
Mady G.,A Quick & Easy Guide to Queer & Trans Identities,Banned in Libraries and Classrooms,"Zuckerberg, J. R.",,,Tennessee,Collierville Schools,February 2022,Administration,2022
Diana Gabaldon,Outlander (Outlander Series),Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administration,2022
Dani Gabriel,Sam!,Banned Pending Investigation,,"Liu-Trujillo, Robert",,Florida,Duval County Public Schools,January 2022,Administration,2022
Sarah Gailey,When We Were Magic,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Sarah Gailey,When We Were Magic,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Ernest J. Gaines,A Lesson Before Dying,Banned Pending Investigation,,,,Virginia,Virginia Beach City Public Schools,October 2021,Administration,2021
Heather Gale,Ho'onani: Hula Warrior,Banned Pending Investigation,,"Song, Mika",,Texas,North East Independent School District,December 2021,Administration,2021
Romina Garber,Lobizona (Wolves of No World Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Romina Garber,Lobizona: A Novel (Wolves of No World Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Stephanie Garber,Caraval (Caraval Series),Banned in Libraries,,,,Texas,Katy Independent School District,April 2022,Administration,2022
Cristina García,Dreaming in Cuban,Banned in Libraries and Classrooms,,,,Florida,Lee County Schools,March 2022,Administration,2022
Cristina García,Dreaming in Cuban,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administration,2022
Gabi Garcia,Escuchando con mi Corazón: Un cuento de bondad y autocompasión (Listening to My Heart),Banned in Classrooms,,"Tan, Ying Hui",,Pennsylvania,Central York School District,August 2021,Administration,2021
Isabella Garcia,Cow on the Town: Practicing the Ow Sound,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administration,2022
Nancy Garden,Annie on My Mind,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Nancy Garden,"Hear Us Out!: Lesbian and Gay Stories of Struggle, Progress, and Hope, 1950 to the Present",Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Nancy Garden,The Year They Burned the Books,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Faith Gardner,Girl on the Line,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Camryn Garrett,Full Disclosure,Banned in Libraries and Classrooms,,,,Texas,Killeen Independent School District,April 2022,Administration,2022
Jeannine Garsee,Say the Word,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Jeff Garvin,Symptoms of Being Human,Banned Pending Investigation,,,,Oklahoma,Bristow Public Schools,October 2021,Administration,2021
Jeff Garvin,Symptoms of Being Human,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Jeff Garvin,Symptoms of Being Human,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Jeff Garvin,Symptoms of Being Human,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Geneva Gay,"Culturally Responsive Teaching: Theory, Research, and Practice",Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Roxane Gay,Hunger: A Memoir of (My) Body,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administration,2021
Marjetta Geerling,Fancy White Trash,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Marjetta Geerling,Fancy White Trash,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Jennifer Gennari,My Mixed-Up Berry Blue Summer,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Jennifer Gennari,My Mixed-Up Berry Blue Summer,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Elizabeth George,The Edge of the Water (Whidbey Island Saga Series),Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Linda George,Luis Munoz Marin (Community Builders),Banned in Classrooms,"George, Charles",,,Pennsylvania,Central York School District,August 2021,Administration,2021
Madeleine George,The Difference Between You and Me,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Donna Gephart,Lily and Dunkin,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administration,2021
Donna Gephart,Lily and Dunkin,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Donna Gephart,Lily and Dunkin,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administration,2022
Donna Gephart,Lily and Dunkin,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Gail Giles,Girls Like Us (2015),Banned in Libraries and Classrooms,,,,Texas,Keller Independent School District,December 2021,Formal Challenge,2021
Lamar Giles,Not So Pure and Simple,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Alex Gino,Melissa (George),Banned in Libraries and Classrooms,,,,Florida,Hernando School District,November 2021,Administration,2021
Alex Gino,Melissa (George),Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administration,2021
Alex Gino,Melissa (George),Banned in Libraries and Classrooms,,,,Florida,Lee County Schools,March 2022,Administration,2022
Alex Gino,Melissa (George),Banned in Libraries,,,,Florida,Polk County Public Schools,January 2022,Administration,2022
Alex Gino,Melissa (George),Banned in Libraries,,,,Florida,St. Lucie Public Schools,December 2021,Formal Challenge,2021
Alex Gino,Melissa (George),Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administration,2022
Alex Gino,Melissa (George),Banned Pending Investigation,,,,Oklahoma,Bristow Public Schools,October 2021,Administration,2021
Alex Gino,Melissa (George),Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Alex Gino,Melissa (George),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Alex Gino,Melissa (George),Banned in Libraries,,,,Texas,Katy Independent School District,January 2022,Administration,2022
Alex Gino,Melissa (George),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Alex Gino,Rick,Banned in Libraries and Classrooms,,,,Florida,Hernando School District,November 2021,Administration,2021
Alex Gino,Rick,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Shawn A. Ginwright,Black Youth Rising: Activism and Radical Healing in Urban America,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Shawn A. Ginwright,Hope and Healing in Urban Education: How Urban Activists and Teachers are Reclaiming Matters of the Heart,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
M-E Girard,Girl Mans Up,Banned in Libraries,,,,Georgia,Cherokee County School District,January 2022,Formal Challenge,2022
M-E Girard,Girl Mans Up,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Joseph F. Girzone,Joshua and the City,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administration,2021
Abbi Glines,After the Game (The Field Party Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Abbi Glines,Bad for You (Sea Breeze Series),Banned Pending Investigation,,,,Oklahoma,Bristow Public Schools,October 2021,Administration,2021
Abbi Glines,Bad for You (Sea Breeze Series),Banned in Libraries and Classrooms,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Abbi Glines,Losing the Field (The Field Party Series),Banned in Libraries and Classrooms,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Abbi Glines,Making a Play (The Field Party Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Abbi Glines,The Vincent Boys (The Vincent Boys Series),Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administration,2021
Abbi Glines,The Vincent Boys (The Vincent Boys Series),Banned in Libraries,,,,Florida,Polk County Public Schools,January 2022,Administration,2022
Abbi Glines,The Vincent Boys (The Vincent Boys Series),Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administration,2022
Abbi Glines,The Vincent Brothers (The Vincent Boys Series),Banned in Libraries and Classrooms,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Abbi Glines,Under the Lights (The Field Party Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Abbi Glines,Until Friday Night (The Field Party Series),Banned in Libraries and Classrooms,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Abbi Glines,Until the End (Sea Breeze Series),Banned in Libraries and Classrooms,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Thelma Lynne Godin,The Hula-Hoopin' Queen,Banned in Classrooms,,"Brantley-Newton, Vanessa",,Pennsylvania,Central York School District,August 2021,Administration,2021
Susan Dudley Gold,Roe v. Wade: A Woman's Choice?,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
William Golding,Lord of the Flies,Banned in Libraries,,,,Oklahoma,Bristow Public Schools,October 2021,Administration,2021
Steven Goldman,"Two Parties, One Tux, and a Very Short Film about The Grapes of Wrath",Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Katrina Goldsaito,The Sound of Silence,Banned Pending Investigation,,"Kuo, Julia",,Florida,Duval County Public Schools,January 2022,Administration,2022
Florence Gonsalves,Love & Other Carnivorous Plants,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Kathryn Gonzales,"Trans+: Love, Sex, Romance, and Being You",Banned Pending Investigation,"Rayne, Karen",,,Florida,Walton County School District,April 2022,Administration,2022
Kathryn Gonzales,"Trans+: Love, Sex, Romance, and Being You",Banned in Libraries and Classrooms,"Rayne, Karen",,,Tennessee,Collierville Schools,February 2022,Administration,2022
Sophie Gonzales,Perfect on Paper,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Maya Christina Gonzalez,"They, She, He Easy as ABC",Banned in Classrooms,"SG, Matthew",,,Pennsylvania,Central York School District,August 2021,Administration,2021
Maya Christina Gonzalez,"They, She, He Easy as ABC",Banned Pending Investigation,"SG, Matthew",,,Texas,North East Independent School District,December 2021,Administration,2021
Rigoberto González,What Drowns the Flowers in Your Mouth: A Memoir of Brotherhood,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Xelena Gonzalez,All Around Us,Banned Pending Investigation,,"Garcia, Adriana M.",,Florida,Duval County Public Schools,January 2022,Administration,2022
Laura Goode,Sister Mischief,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Laura Goode,Sister Mischief,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
S. J. Goslee,How Not to Ask a Boy to Prom,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
S. J. Goslee,Whatever.: or how junior year became totally f$@ked,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
B. T. Gottfred,Forever for a Year,Banned in Libraries and Classrooms,,,,Texas,Cypress-Fairbanks Independent School District,December 2021,Administration,2021
B. T. Gottfred,Forever for a Year,Banned in Libraries and Classrooms,,,,Texas,Katy Independent School District,November 2021,Administration,2021
B. T. Gottfred,Forever for a Year,Banned Pending Investigation,,,,Texas,Lamar Consolidated Independent School District,December 2021,Administration,2021
B. T. Gottfred,The Handsome Girl & Her Beautiful Boy,Banned in Libraries and Classrooms,,,,Texas,Katy Independent School District,November 2021,Administration,2021
B. T. Gottfred,The Nerdy and the Dirty,Banned in Libraries and Classrooms,,,,Texas,Cypress-Fairbanks Independent School District,January 2022,Administration,2022
B. T. Gottfred,The Nerdy and the Dirty,Banned in Libraries and Classrooms,,,,Texas,Katy Independent School District,November 2021,Administration,2021
B. T. Gottfred,The Nerdy and the Dirty,Banned Pending Investigation,,,,Texas,Lamar Consolidated Independent School District,December 2021,Administration,2021
Iris Gottlieb,Seeing Gender: An Illustrated Guide to Identity and Expression,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Erin Gough,Amelia Westlake Was Never Here,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Sasha Gould,Cross My Heart (Cross My Heart Series),Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administration,2021
Catherine Gourley,Who Was Maria Tallchief? (Who was...? Series),Banned in Classrooms,,"Taylor, Val Paul",,Pennsylvania,Central York School District,August 2021,Administration,2021
L. Kris Gowen,Image and Identity: Becoming the Person You Are,Banned in Libraries,"McKenna, Molly",,,Texas,North East Independent School District,December 2021,Administration,2021
Tessa Gratton,Night Shine (Night Shine Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Alan Gratz,Refugee,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Alan Gratz,Refugee,Banned Pending Investigation,,,,Texas,Katy Independent School District,January 2022,Administration,2022
John Green,Let it Snow: Three Holiday Romances,Banned in Libraries,"Johnson, Maureen; Myracle, Lauren",,,Wisconsin,School District of Waukesha,December 2021,Administration,2021
John Green,Looking for Alaska,Banned in Libraries and Classrooms,,,,Florida,Hernando School District,November 2021,Administration,2021
