Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Ban Status,Origin of Challenge,Year
Call Me By Your Name,André Aciman,,,,Call Me By Your Name,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned,Formal Challenge,2023
The Haters,Jesse Andrews,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Red Hood,Elana K. Arnold,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
The Handmaid's Tale,Margaret Atwood,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
The Handmaid's Tale: The Graphic Novel,Margaret Atwood,,"Nault, Renee",,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Forever...,Judy Blume,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
How Beautiful the Ordinary: Twelve Stories of Identity,Michael Cart,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
The Perks of Being a Wallflower,Stephen Chbosky,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Flamer,Mike Curato,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Extremely Loud and Incredibly Close,Jonathan Safran Foer,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
The Carnival at Bray,Jessie Ann Foley,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Water for Elephants,Sara Gruen,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
The Freedom Writers Diary,Erin Gruwell,The Freedom Writers,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Homegoing,Yaa Gyasi,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Robie H. Harris,,"Emberley, Michael",,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Sex: An Uncensored Introduction,Nikol Hasler,,"Capozzola, Michael",,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
It Ends With Us,Colleen Hoover,,,,It Ends with Us,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned,Formal Challenge,2023
Ugly Love,Colleen Hoover,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned,Formal Challenge,2023
Verity,Colleen Hoover,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned,Formal Challenge,2023
Crank,Ellen Hopkins,,,,Crank,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Identical,Ellen Hopkins,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Perfect (EH),Ellen Hopkins,,,,Impulse,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Tilt (EH),Ellen Hopkins,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Tricks,Ellen Hopkins,,,,Tricks,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
I Never,Laura Hopper,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
The Kite Runner,Khaled Hosseini,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
The Kite Runner Graphic Novel,Khaled Hosseini,,"Celoni, Fabio; Andolfo, Mirka",,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Monday's Not Coming,Tiffany D. Jackson,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
The DUFF: Designated Ugly Fat Friend,Kody Keplinger,,,,Hamilton High,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
You: A Novel of Dark Obsession,Caroline Kepnes,,,,You,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned,Formal Challenge,2023
Last Night at the Telegraph Club,Malinda Lo,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
A Court of Frost and Starlight,Sarah J. Maas,,,,A Court of Thorns and Roses,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
A Court of Mist and Fury,Sarah J. Maas,,,,A Court of Thorns and Roses,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned,Formal Challenge,2023
A ​Court of Silver Flames,Sarah J. Maas,,,,A Court of Thorns and Roses,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned,Formal Challenge,2023
A Court of Thorns and Roses,Sarah J. Maas,,,,A Court of Thorns and Roses,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
A Court of Wings and Ruin,Sarah J. Maas,,,,A Court of Thorns and Roses,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Empire of Storms,Sarah J. Maas,,,,Throne of Glass,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Kingdom of Ash,Sarah J. Maas,,,,Throne of Glass,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,,,,The Wicked Years,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Sold,Patricia McCormick,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
"Red, White, and Royal Blue",Casey McQuiston,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
The Bluest Eye,Toni Morrison,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Exit Here.,Jason Myers,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
"l8r, g8r",Lauren Myracle,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Shine,Lauren Myracle,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
yolo,Lauren Myracle,,,,Internet Girls,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Breathless (JN),Jennifer Niven,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Nineteen Minutes,Jodi Picoult,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Persepolis 2: The Story of a Return,Marjane Satrapi,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Persepolis: The Story of a Childhood,Marjane Satrapi,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Living Dead Girl,Elizabeth Scott,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Lucky (AS),Alice Sebold,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
The Lovely Bones,Alice Sebold,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
This One Summer,Mariko Tamaki,,"Tamaki, Jillian",,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Drama: A Graphic Novel,Raina Telgemeier,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
Slaughterhouse-Five,Kurt Vonnegut Jr.,,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,2023
This Book Is Gay,Juno Dawson,,,,,California,Escondido Union School District,October 2023,Banned,Informal Challenge,2023
Looking for Alaska,John Green,,,,,California,Escondido Union School District,October 2023,Banned,Administration,2023
Thirteen Reasons Why,Jay Asher,,,,,Florida,Alachua County Public Schools,October 2023,Banned,Formal Challenge,2023
Clockwork Orange,Anthony Burgess,,,,,Florida,Alachua County Public Schools,April 2024,Banned pending investigation,Formal Challenge,2024
Pet,Akwaeke Emezi,,,,,Florida,Alachua County Public Schools,December 2023,Banned pending investigation,Formal Challenge,2023
Melissa (George),Alex Gino,,,,,Florida,Alachua County Public Schools,November 2023,Banned pending investigation,Formal Challenge,2023
Water for Elephants,Sara Gruen,,,,,Florida,Alachua County Public Schools,April 2024,Banned pending investigation,Formal Challenge,2024
The Freedom Writers Diary,Erin Gruwell,The Freedom Writers,,,,Florida,Alachua County Public Schools,April 2024,Banned pending investigation,Formal Challenge,2024
Burned (EH),Ellen Hopkins,,,,Burned,Florida,Alachua County Public Schools,March 2024,Banned pending investigation,Formal Challenge,2024
Tricks,Ellen Hopkins,,,,Tricks,Florida,Alachua County Public Schools,November 2023,Banned pending investigation,Formal Challenge,2023
All Boys Aren't Blue,George M. Johnson,,,,,Florida,Alachua County Public Schools,November 2023,Banned,Formal Challenge,2023
The Sun and Her Flowers,Rupi Kaur,,,,,Florida,Alachua County Public Schools,February 2024,Banned,Formal Challenge,2024
The DUFF: Designated Ugly Fat Friend,Kody Keplinger,,,,Hamilton High,Florida,Alachua County Public Schools,December 2023,Banned,Unclear,2023
Gender Queer: A Memoir,Maia Kobabe,,,,,Florida,Alachua County Public Schools,October 2023,Banned,Formal Challenge,2023
Beyond Magenta: Transgender Teens Speak Out,Susan Kuklin,,,,,Florida,Alachua County Public Schools,September 2023,Banned,Formal Challenge,2023
Last Night at the Telegraph Club,Malinda Lo,,,,,Florida,Alachua County Public Schools,April 2024,Banned pending investigation,Formal Challenge,2024
Empire of Storms,Sarah J. Maas,,,,Throne of Glass,Florida,Alachua County Public Schools,March 2024,Banned,Formal Challenge,2024
Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,,,,The Wicked Years,Florida,Alachua County Public Schools,March 2024,Banned pending investigation,Formal Challenge,2024
Fade,Lisa McMann,,,,Wake,Florida,Alachua County Public Schools,March 2024,Banned,Formal Challenge,2024
Haunted,Chuck Palahniuk,,,,,Florida,Alachua County Public Schools,March 2024,Banned,Formal Challenge,2024
Nineteen Minutes,Jodi Picoult,,,,,Florida,Alachua County Public Schools,April 2024,Banned pending investigation,Formal Challenge,2024
Jesus Land: A Memoir,Julia Scheeres,,,,,Florida,Alachua County Public Schools,April 2024,Banned pending investigation,Formal Challenge,2024
Lucky (AS),Alice Sebold,,,,,Florida,Alachua County Public Schools,April 2024,Banned pending investigation,Formal Challenge,2024
The Almost Moon,Alice Sebold,,,,,Florida,Alachua County Public Schools,December 2023,Banned,Formal Challenge,2023
It Feels Good to Be Yourself: A Book About Gender Identity,Theresa Thorn,,"Grigni, Noah",,,Florida,Alachua County Public Schools,October 2023,Banned pending investigation,Formal Challenge,2023
Slaughterhouse-Five,Kurt Vonnegut Jr.,,,,,Florida,Alachua County Public Schools,March 2024,Banned pending investigation,Formal Challenge,2024
Flowers in the Attic,V.C. Andrews,,,,Dollanganger,Florida,Bay District Schools,June 2024,Banned,Formal Challenge,2024
Storm and Fury,Jennifer L. Armentrout,,,,Harbinger,Florida,Bay District Schools,April 2024,Banned,Formal Challenge,2024
Oryx and Crake,Margaret Atwood,,,,MaddAddam,Florida,Bay District Schools,April 2024,Banned,Formal Challenge,2024
The Handmaid's Tale,Margaret Atwood,,,,,Florida,Bay District Schools,April 2024,Banned,Formal Challenge,2024
The Handmaid's Tale: The Graphic Novel,Margaret Atwood,,"Nault, Renee",,,Florida,Bay District Schools,April 2024,Banned,Formal Challenge,2024
Fun Home: A Family Tragicomic,Alison Bechdel,,,,,Florida,Bay District Schools,April 2024,Banned,Formal Challenge,2024
Flamer,Mike Curato,,,,,Florida,Bay District Schools,May 2024,Banned,Formal Challenge,2024
A Stolen Life,Jaycee Dugard,,,,,Florida,Bay District Schools,March 2024,Banned,Formal Challenge,2024
The Carnival at Bray,Jessie Ann Foley,,,,,Florida,Bay District Schools,April 2024,Banned,Formal Challenge,2024
Wrecked,E. R. Frank,,,,,Florida,Bay District Schools,June 2024,Banned,Formal Challenge,2024
Friction,E.R. Frank,,,,,Florida,Bay District Schools,April 2024,Banned,Formal Challenge,2024
It Ends With Us,Colleen Hoover,,,,It Ends with Us,Florida,Bay District Schools,April 2024,Banned,Formal Challenge,2024
Fallout,Ellen Hopkins,,,,Crank,Florida,Bay District Schools,April 2024,Banned,Formal Challenge,2024
Glass,Ellen Hopkins,,,,Crank,Florida,Bay District Schools,April 2024,Banned,Formal Challenge,2024
Impulse,Ellen Hopkins,,,,Impulse,Florida,Bay District Schools,April 2024,Banned,Formal Challenge,2024
Smoke,Ellen Hopkins,,,,Impulse,Florida,Bay District Schools,April 2024,Banned,Formal Challenge,2024
When Aidan Became a Brother,Kyle Lukoff,,"Juanita, Kaylani",,,Florida,Bay District Schools,June 2024,Banned,Formal Challenge,2024
Boy Toy,Barry Lyga,,,,,Florida,Bay District Schools,April 2024,Banned,Formal Challenge,2024
A Court of Wings and Ruin,Sarah J. Maas,,,,A Court of Thorns and Roses,Florida,Bay District Schools,May 2024,Banned,Formal Challenge,2024
Crown of Midnight,Sarah J. Maas,,,,Throne of Glass,Florida,Bay District Schools,April 2024,Banned,Formal Challenge,2024
Empire of Storms,Sarah J. Maas,,,,Throne of Glass,Florida,Bay District Schools,April 2024,Banned,Formal Challenge,2024
Queen of Shadows,Sarah J. Maas,,,,Throne of Glass,Florida,Bay District Schools,April 2024,Banned,Formal Challenge,2024
Sold,Patricia McCormick,,,,,Florida,Bay District Schools,March 2024,Banned,Formal Challenge,2024
Gone (LM),Lisa McMann,,,,Wake Trilogy,Florida,Bay District Schools,June 2024,Banned,Formal Challenge,2024
Kissing Kate,Lauren Myracle,,,,,Florida,Bay District Schools,April 2024,Banned,Formal Challenge,2024
ttyl,Lauren Myracle,,,,Internet Girls,Florida,Bay District Schools,April 2024,Banned,Formal Challenge,2024
yolo,Lauren Myracle,,,,Internet Girls,Florida,Bay District Schools,April 2024,Banned,Formal Challenge,2024
All the Bright Places,Jennifer Niven,,,,,Florida,Bay District Schools,April 2024,Banned,Formal Challenge,2024
The Nowhere Girls,Amy Reed,,,,,Florida,Bay District Schools,April 2024,Banned,Formal Challenge,2024
When I Was the Greatest,Jason Reynolds,,,,,Florida,Bay District Schools,June 2024,Banned pending investigation,Formal Challenge,2024
Juliet Takes a Breath,Gabby Rivera,,,,,Florida,Bay District Schools,April 2024,Banned,Formal Challenge,2024
Normal People,Sally Rooney,,,,,Florida,Bay District Schools,April 2024,Banned,Formal Challenge,2024
Stealing Heaven,Elizabeth Scott,,,,,Florida,Bay District Schools,June 2024,Banned,Formal Challenge,2024
The Lovely Bones,Alice Sebold,,,,,Florida,Bay District Schools,April 2024,Banned,Formal Challenge,2024
Slaughterhouse-Five,Kurt Vonnegut Jr.,,,,,Florida,Bay District Schools,April 2024,Banned,Formal Challenge,2024
The Kingdom of Little Wounds,Susann Cokal,,,,,Florida,Brevard Public Schools,April 2024,Banned pending investigation,Formal Challenge,2024
Dark Sons,Nikki Grimes,,,,,Florida,Brevard Public Schools,August 2023,Banned,Formal Challenge,2023
Sasaki and Miyano,Shou Harusono,,"Kim, Dayeun","Harvey, Leighann",Sasaki and Miyano,Florida,Brevard Public Schools,May 2024,Banned pending investigation,Formal Challenge,2024
Allegedly,Tiffany D. Jackson,,,,,Florida,Brevard Public Schools,December 2023,Banned pending investigation,Formal Challenge,2023
Blood Water Paint,Joy McCullough,,,,,Florida,Brevard Public Schools,August 2023,Banned,Formal Challenge,2023
Lost Gospels and Hidden Codes: New Concepts of Scripture,Kenneth McIntosh,,,,Religion and Modern Culture,Florida,Brevard Public Schools,August 2023,Banned,Formal Challenge,2023
East of Eden,John Steinbeck,,,,,Florida,Brevard Public Schools,August 2023,Banned,Formal Challenge,2023
Billy Graham: World-Famous Evangelist,Sara McIntosh Wooten,,,,People to Know,Florida,Brevard Public Schools,August 2023,Banned,Formal Challenge,2023
The Handmaid's Tale: The Graphic Novel,Margaret Atwood,,"Nault, Renee",,,Florida,Broward County Public Schools,March 2024,Banned,Administration,2024
Forever...,Judy Blume,,,,,Florida,Broward County Public Schools,January 2024,Banned by restriction,Administration,2024
Identical,Ellen Hopkins,,,,,Florida,Broward County Public Schools,February 2024,Banned by restriction,Administration,2024
Tricks,Ellen Hopkins,,,,Tricks,Florida,Broward County Public Schools,March 2024,Banned,Administration,2024
All Boys Aren't Blue,George M. Johnson,,,,,Florida,Broward County Public Schools,December 2023,Banned by restriction,Administration,2023
Beyond Magenta: Transgender Teens Speak Out,Susan Kuklin,,,,,Florida,Broward County Public Schools,December 2023,Banned by restriction,Administration,2023
Kaffir Boy: An Autobiography - The True Story of a Black Youth's Coming of Age in Apartheid South Africa,Mark Mathabane,,,,,Florida,Broward County Public Schools,September 2023,Banned by restriction,Formal Challenge,2023
Choke (CP),Chuck Palahniuk,,,,,Florida,Broward County Public Schools,January 2024,Banned,Administration,2024
Jack of Hearts (and other parts),L. C. Rosen,,,,,Florida,Broward County Public Schools,February 2024,Banned,Administration,2024
Lucky (AS),Alice Sebold,,,,,Florida,Broward County Public Schools,March 2024,Banned,Administration,2024
Front Desk,Kelly Yang,,,,Front Desk,Florida,Broward County Public Schools,September 2023,Banned by restriction,Formal Challenge,2023
Clap When You Land,Elizabeth Acevedo,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
The Poet X,Elizabeth Acevedo,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,,"Forney, Ellen",,,Florida,Charlotte County Public Schools,August 2023,Banned,Formal Challenge,2023
Speak,Laurie Halse Anderson,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
Speak: The Graphic Novel,Laurie Halse Anderson,,"Carroll, Emily",,,Florida,Charlotte County Public Schools,March 2024,Banned,Administration,2024
Me and Earl and the Dying Girl,Jesse Andrews,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
I Know Why The Caged Bird Sings,Maya Angelou,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
Thirteen Reasons Why,Jay Asher,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Formal Challenge,2023
Oryx and Crake,Margaret Atwood,,,,MaddAddam,Florida,Charlotte County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Handmaid's Tale,Margaret Atwood,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
Cinderella Is Dead,Kalynn Bayron,,,,,Florida,Charlotte County Public Schools,August 2023,Banned pending investigation,Administration,2023
Forever...,Judy Blume,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Formal Challenge,2023
Graceling,Kristin Cashore,,,,Graceling Realm,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
The Perks of Being a Wallflower,Stephen Chbosky,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
Killing Mr. Griffin,Lois Duncan,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
Breathing Underwater,Alex Flinn,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
Extremely Loud and Incredibly Close,Jonathan Safran Foer,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
Picture Us In the Light,Kelly Loy Gilbert,,,,,Florida,Charlotte County Public Schools,August 2023,Banned by restriction,Administration,2023
Ban This Book,Alan Gratz,,,,,Florida,Charlotte County Public Schools,April 2024,Banned by restriction,Administration,2024
Looking for Alaska,John Green,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
The Fault in Our Stars,John Green,,,,,Florida,Charlotte County Public Schools,August 2023,Banned by restriction,Administration,2023
"Will Grayson, Will Grayson",John Green,"Levithan, David",,,"Will Grayson, Will Grayson",Florida,Charlotte County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Freedom Writers Diary,Erin Gruwell,The Freedom Writers,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
Homegoing,Yaa Gyasi,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
The Great Alone,Kristin Hannah,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Robie H. Harris,,"Emberley, Michael",,,Florida,Charlotte County Public Schools,August 2023,Banned,Formal Challenge,2023
Burned (EH),Ellen Hopkins,,,,Burned,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
Crank,Ellen Hopkins,,,,Crank,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
Fallout,Ellen Hopkins,,,,Crank,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
Glass,Ellen Hopkins,,,,Crank,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
Impulse,Ellen Hopkins,,,,Impulse,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
Smoke,Ellen Hopkins,,,,Impulse,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
Tricks,Ellen Hopkins,,,,Tricks,Florida,Charlotte County Public Schools,August 2023,Banned,Formal Challenge,2023
A Thousand Splendid Suns,Khaled Hosseini,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
The Kite Runner,Khaled Hosseini,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Formal Challenge,2023
Monday's Not Coming,Tiffany D. Jackson,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
Being Jazz: My Life as a (Transgender) Teen,Jazz Jennings,,,,,Florida,Charlotte County Public Schools,August 2023,Banned by restriction,Formal Challenge,2023
Almost Perfect,Brian Katcher,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Formal Challenge,2023
Two Boys Kissing,David Levithan,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Formal Challenge,2023
Fly on the Wall: How One Girl Saw Everything,E. Lockhart,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Formal Challenge,2023
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",E. Lockhart,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Formal Challenge,2023
Unravel Me,Tahereh Mafi,,,,Shatter Me,Florida,Charlotte County Public Schools,August 2023,Banned by restriction,Formal Challenge,2023
Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,,,,The Wicked Years,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
The Truth About Alice: A Novel,Jennifer Mathieu,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Formal Challenge,2023
Sold,Patricia McCormick,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
Atonement,Ian McEwan,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
Beloved,Toni Morrison,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Formal Challenge,2023
The Bluest Eye,Toni Morrison,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Formal Challenge,2023
War Inside Me,Sydney Nicholas,,,,,Florida,Charlotte County Public Schools,August 2023,Banned pending investigation,Administration,2023
All the Bright Places,Jennifer Niven,,,,,Florida,Charlotte County Public Schools,March 2024,Banned,Formal Challenge,2024
Holding Up the Universe,Jennifer Niven,,,,,Florida,Charlotte County Public Schools,August 2023,Banned by restriction,Administration,2023
Where the Crawdads Sing,Delia Owens,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
Nineteen Minutes,Jodi Picoult,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Formal Challenge,2023
We the Living,Ayn Rand,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
The Nowhere Girls,Amy Reed,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
All American Boys,Jason Reynolds,"Kiely, Brendan",,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
And Tango Makes Three,Justin Richardson,"Parnell, Peter","Cole, Henry",,,Florida,Charlotte County Public Schools,August 2023,Banned,Formal Challenge,2023
Percy Jackson's Greek Gods,Rick Riordan,,,,Camp Half-Blood Chronicles,Florida,Charlotte County Public Schools,April 2024,Banned,Unclear,2024
Eleanor and Park,Rainbow Rowell,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
I Am Not Your Perfect Mexican Daughter,Erika L. Sánchez,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
Lucky (AS),Alice Sebold,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
Burned (SS),Sara Shepard,,,,Pretty Little Liars,Florida,Charlotte County Public Schools,August 2023,Banned pending investigation,Administration,2023
Crushed,Sara Shepard,,,,,Florida,Charlotte County Public Schools,August 2023,Banned pending investigation,Administration,2023
Deadly,Sara Shepard,,,,Pretty Little Liars,Florida,Charlotte County Public Schools,August 2023,Banned pending investigation,Administration,2023
Flawless,Sara Shepard,,,,Pretty Little Liars,Florida,Charlotte County Public Schools,August 2023,Banned pending investigation,Administration,2023
Heartless,Sara Shepard,,,,Pretty Little Liars,Florida,Charlotte County Public Schools,August 2023,Banned pending investigation,Administration,2023
Killer,Sara Shepard,,,,Pretty Little Liars,Florida,Charlotte County Public Schools,August 2023,Banned pending investigation,Administration,2023
Perfect,Sara Shepard,,,,Pretty Little Liars,Florida,Charlotte County Public Schools,August 2023,Banned pending investigation,Administration,2023
Pretty Little Liars,Sara Shepard,,,,Pretty Little Liars,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
Ruthless,Sara Shepard,,,,Pretty Little Liars,Florida,Charlotte County Public Schools,August 2023,Banned pending investigation,Administration,2023
Stunning,Sara Shepard,,,,,Florida,Charlotte County Public Schools,August 2023,Banned pending investigation,Administration,2023
Toxic,Sara Shepard,,,,Pretty Little Liars,Florida,Charlotte County Public Schools,August 2023,Banned pending investigation,Administration,2023
Twisted (SS),Sara Shepard,,,,,Florida,Charlotte County Public Schools,August 2023,Banned pending investigation,Administration,2023
Unbelievable,Sara Shepard,,,,Pretty Little Liars,Florida,Charlotte County Public Schools,August 2023,Banned pending investigation,Administration,2023
Vicious,Sara Shepard,,,,,Florida,Charlotte County Public Schools,August 2023,Banned pending investigation,Administration,2023
Wanted,Sara Shepard,,,,Pretty Little Liars,Florida,Charlotte County Public Schools,August 2023,Banned pending investigation,Administration,2023
More Happy Than Not,Adam Silvera,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Formal Challenge,2023
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Dashka Slater,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
Go Ask Alice,Beatrice Sparks,Anonymous,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
Who Was Sally Ride?,Megan Stine,,"Hammond, Ted",,Who Was?,Florida,Charlotte County Public Schools,April 2024,Banned by restriction,Administration,2024
The Help,Kathryn Stockett,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
Dear Martin,Nic Stone,,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,2023
